road_segment_id,timestamp,road_health_score,severity_score,priority_score,priority,detection_count,damage_class_counts,avg_confidence,max_severity_score,damage_frame_pct,unique_detections,maintenance_performed,future_road_health,future_priority_score,days_to_next_inspection,days_since_previous_inspection,previous_road_health_score,deterioration_rate,number_of_previous_inspections
ROAD_006,2025-01-21T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,20,78,0,100,0.0,0
ROAD_006,2025-04-09T00:00:00,96,27,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8487,84.87,40.4,1,0,96,21,36,78,100,0.0513,1
ROAD_006,2025-05-15T00:00:00,96,28,21,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8685,86.85000000000001,30.5,1,0,87,35,53,36,96,0.0,2
ROAD_006,2025-07-07T00:00:00,87,29,35,Routine,3,"{""D00"": 1, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.7291,91.51,10.7,3,0,83,46,81,53,96,0.1698,3
ROAD_006,2025-09-26T00:00:00,83,38,46,Medium,4,"{""D00"": 1, ""D10"": 2, ""D20"": 1, ""D40"": 0}",0.8692,94.51,56.1,4,1,100,0,47,81,87,0.0494,4
ROAD_006,2025-11-12T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,33,47,83,-0.3617,5
ROAD_006,2025-12-15T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,30,83,33,100,0.0,6
ROAD_006,2026-03-08T00:00:00,92,33,30,Routine,2,"{""D00"": 0, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.8065,80.85,31.6,2,0,,,,83,100,0.0964,7
ROAD_007,2025-01-11T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,41,0,100,0.0,0
ROAD_007,2025-02-21T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,92,29,86,41,100,0.0,1
ROAD_007,2025-05-18T00:00:00,92,32,29,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.9043,93.69,66.3,2,0,92,27,53,86,100,0.093,2
ROAD_007,2025-07-10T00:00:00,92,27,27,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8195,81.99,43.0,2,0,92,33,69,53,92,0.0,3
ROAD_007,2025-09-17T00:00:00,92,39,33,Routine,2,"{""D00"": 0, ""D10"": 0, ""D20"": 2, ""D40"": 0}",0.7427,87.94999999999999,76.2,2,0,96,19,49,69,92,0.0,4
ROAD_007,2025-11-05T00:00:00,96,25,19,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6984,69.84,76.5,1,0,78,49,74,49,92,-0.0816,5
ROAD_007,2026-01-18T00:00:00,78,40,49,Medium,5,"{""D00"": 0, ""D10"": 3, ""D20"": 2, ""D40"": 0}",0.8531,93.73,51.8,5,1,96,23,31,74,96,0.2432,6
ROAD_007,2026-02-18T00:00:00,96,32,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7846,78.46,66.9,1,0,,,,31,78,-0.5806,7
ROAD_008,2025-01-28T00:00:00,96,32,23,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8144,81.44,11.8,1,0,96,18,30,0,96,0.0,0
ROAD_008,2025-02-27T00:00:00,96,22,18,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6007,60.07,39.5,1,0,91,28,37,30,96,0.0,1
ROAD_008,2025-04-05T00:00:00,91,28,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7007,73.08,55.0,2,0,79,45,31,37,96,0.1351,2
ROAD_008,2025-05-06T00:00:00,79,34,45,Medium,5,"{""D00"": 1, ""D10"": 3, ""D20"": 1, ""D40"": 0}",0.7359,94.78999999999999,26.0,5,0,79,46,51,31,91,0.3871,3
ROAD_008,2025-06-26T00:00:00,79,35,46,Medium,5,"{""D00"": 2, ""D10"": 2, ""D20"": 1, ""D40"": 0}",0.7359,81.6,34.6,5,0,86,40,66,51,79,0.0,4
ROAD_008,2025-08-31T00:00:00,86,39,40,Medium,3,"{""D00"": 0, ""D10"": 0, ""D20"": 3, ""D40"": 0}",0.6847,79.54,29.1,3,0,78,47,78,66,79,-0.1061,5
ROAD_008,2025-11-17T00:00:00,78,37,47,Medium,6,"{""D00"": 2, ""D10"": 2, ""D20"": 2, ""D40"": 0}",0.7397,86.07000000000001,40.1,6,0,77,54,48,78,86,0.1026,6
ROAD_008,2026-01-04T00:00:00,77,50,54,Medium,8,"{""D00"": 2, ""D10"": 3, ""D20"": 1, ""D40"": 2}",0.7519,94.38,51.2,8,1,,,,48,78,0.0208,7
ROAD_009,2025-01-03T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,100,0,37,0,100,0.0,0
ROAD_009,2025-02-09T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,20,79,37,100,0.0,1
ROAD_009,2025-04-29T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.791,79.10000000000001,63.2,1,0,79,45,71,79,100,0.0506,2
ROAD_009,2025-07-09T00:00:00,79,34,45,Medium,5,"{""D00"": 2, ""D10"": 2, ""D20"": 1, ""D40"": 0}",0.725,80.72,50.6,5,0,91,32,80,71,96,0.2394,3
ROAD_009,2025-09-27T00:00:00,91,36,32,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7511,75.18,22.1,2,0,78,51,45,80,79,-0.15,4
ROAD_009,2025-11-11T00:00:00,78,44,51,Medium,5,"{""D00"": 1, ""D10"": 0, ""D20"": 3, ""D40"": 1}",0.7268,93.58,59.6,5,0,79,45,35,45,91,0.2889,5
ROAD_009,2025-12-16T00:00:00,79,33,45,Medium,5,"{""D00"": 0, ""D10"": 4, ""D20"": 1, ""D40"": 0}",0.6445,80.84,68.2,5,0,77,53,79,35,78,-0.0286,6
ROAD_009,2026-03-05T00:00:00,77,47,53,Medium,5,"{""D00"": 1, ""D10"": 1, ""D20"": 2, ""D40"": 1}",0.7688,94.38,43.6,5,0,,,,79,79,0.0253,7
ROAD_010,2025-01-10T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,21,40,0,100,0.0,0
ROAD_010,2025-02-19T00:00:00,96,29,21,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.9039,90.39,75.1,1,0,92,25,56,40,100,0.1,1
ROAD_010,2025-04-16T00:00:00,92,24,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6711,67.75,68.1,2,0,92,26,74,56,96,0.0714,2
ROAD_010,2025-06-29T00:00:00,92,26,26,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6407,64.51,18.5,2,0,79,43,45,74,92,0.0,3
ROAD_010,2025-08-13T00:00:00,79,30,43,Medium,5,"{""D00"": 4, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8144,94.24,27.8,5,0,91,27,31,45,92,0.2889,4
ROAD_010,2025-09-13T00:00:00,91,27,27,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.6852,80.27,66.8,2,0,79,43,34,31,79,-0.3871,5
ROAD_010,2025-10-17T00:00:00,79,29,43,Medium,5,"{""D00"": 4, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7502,91.97,46.3,5,1,100,0,81,34,91,0.3529,6
ROAD_010,2026-01-06T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,,,,81,79,-0.2593,7
ROAD_011,2025-01-10T00:00:00,92,29,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7673,80.58,65.4,2,0,92,26,33,0,92,0.0,0
ROAD_011,2025-02-12T00:00:00,92,26,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7589,82.12,36.8,2,0,96,20,66,33,92,0.0,1
ROAD_011,2025-04-19T00:00:00,96,26,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7796,77.96,47.1,1,0,92,29,55,66,92,-0.0606,2
ROAD_011,2025-06-13T00:00:00,92,31,29,Routine,2,"{""D00"": 1, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.6965,75.71,52.8,2,0,79,44,74,55,96,0.0727,3
ROAD_011,2025-08-26T00:00:00,79,32,44,Medium,5,"{""D00"": 3, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.7452,90.95,50.1,5,0,87,37,59,74,92,0.1757,4
ROAD_011,2025-10-24T00:00:00,87,34,37,Routine,3,"{""D00"": 0, ""D10"": 2, ""D20"": 1, ""D40"": 0}",0.739,94.98,71.5,3,0,88,35,79,59,79,-0.1356,5
ROAD_011,2026-01-11T00:00:00,88,31,35,Routine,3,"{""D00"": 1, ""D10"": 2, ""D20"": 0, ""D40"": 0}",0.8117,92.39,76.9,3,0,83,44,47,79,87,-0.0127,6
ROAD_011,2026-02-27T00:00:00,83,35,44,Medium,4,"{""D00"": 0, ""D10"": 3, ""D20"": 1, ""D40"": 0}",0.7794,92.94,54.7,4,0,,,,47,88,0.1064,7
ROAD_012,2025-01-08T00:00:00,92,24,25,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7004,72.58,60.3,2,0,91,29,76,0,92,0.0,0
ROAD_012,2025-03-25T00:00:00,91,30,29,Routine,2,"{""D00"": 1, ""D10"": 0, ""D20"": 1, ""D40"": 0}",0.5995,60.64000000000001,13.5,2,0,79,43,90,76,92,0.0132,1
ROAD_012,2025-06-23T00:00:00,79,30,43,Medium,5,"{""D00"": 4, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7605,90.29,40.2,5,0,79,46,86,90,91,0.1333,2
ROAD_012,2025-09-17T00:00:00,79,35,46,Medium,6,"{""D00"": 4, ""D10"": 0, ""D20"": 2, ""D40"": 0}",0.6935,85.2,72.5,6,0,77,52,38,86,79,0.0,3
ROAD_012,2025-10-25T00:00:00,77,46,52,Medium,8,"{""D00"": 1, ""D10"": 2, ""D20"": 4, ""D40"": 1}",0.7877,93.67999999999999,71.1,8,0,76,55,77,38,79,0.0526,4
ROAD_012,2026-01-10T00:00:00,76,51,55,Medium,9,"{""D00"": 1, ""D10"": 4, ""D20"": 2, ""D40"": 2}",0.7686,93.28999999999999,19.6,9,0,78,50,69,77,77,0.013,5
ROAD_012,2026-03-20T00:00:00,78,43,50,Medium,5,"{""D00"": 1, ""D10"": 2, ""D20"": 1, ""D40"": 1}",0.7077,93.58,68.6,5,0,75,55,89,69,76,-0.029,6
ROAD_012,2026-06-17T00:00:00,75,50,55,Medium,10,"{""D00"": 3, ""D10"": 2, ""D20"": 3, ""D40"": 2}",0.7411,94.56,45.2,10,0,,,,89,78,0.0337,7
ROAD_013,2025-01-31T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,20,69,0,100,0.0,0
ROAD_013,2025-04-10T00:00:00,96,27,20,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.8308,83.08,73.9,1,0,87,35,78,69,100,0.058,1
ROAD_013,2025-06-27T00:00:00,87,30,35,Routine,3,"{""D00"": 2, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8782,91.12,40.9,3,0,76,55,73,78,96,0.1154,2
ROAD_013,2025-09-08T00:00:00,76,51,55,Medium,8,"{""D00"": 1, ""D10"": 3, ""D20"": 2, ""D40"": 2}",0.7516,89.78,61.0,8,0,74,58,44,73,87,0.1507,3
ROAD_013,2025-10-22T00:00:00,74,55,58,Medium,10,"{""D00"": 2, ""D10"": 0, ""D20"": 2, ""D40"": 6}",0.6945,79.60000000000001,31.0,10,0,77,52,41,44,76,0.0455,4
ROAD_013,2025-12-02T00:00:00,77,45,52,Medium,7,"{""D00"": 1, ""D10"": 3, ""D20"": 2, ""D40"": 1}",0.8176,92.49000000000001,37.8,7,0,76,58,45,41,74,-0.0732,5
ROAD_013,2026-01-16T00:00:00,76,56,58,Medium,10,"{""D00"": 0, ""D10"": 5, ""D20"": 2, ""D40"": 3}",0.756,92.74,26.2,10,0,78,48,75,45,77,0.0222,6
ROAD_013,2026-04-01T00:00:00,78,39,48,Medium,5,"{""D00"": 1, ""D10"": 1, ""D20"": 3, ""D40"": 0}",0.6974,81.67,67.1,5,0,,,,75,76,-0.0267,7
ROAD_014,2025-01-08T00:00:00,96,22,18,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.5874,58.74,36.5,1,0,95,24,65,0,96,0.0,0
ROAD_014,2025-03-14T00:00:00,95,34,24,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8638,86.38,49.6,1,0,91,28,84,65,96,0.0154,1
ROAD_014,2025-06-06T00:00:00,91,29,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7414,91.97,75.0,2,0,87,35,50,84,95,0.0476,2
ROAD_014,2025-07-26T00:00:00,87,30,35,Routine,3,"{""D00"": 0, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.6894,77.56,26.3,3,0,78,47,34,50,91,0.08,3
ROAD_014,2025-08-29T00:00:00,78,36,47,Medium,5,"{""D00"": 0, ""D10"": 4, ""D20"": 1, ""D40"": 0}",0.7753,86.92,76.0,5,0,83,46,58,34,87,0.2647,4
ROAD_014,2025-10-26T00:00:00,83,39,46,Medium,4,"{""D00"": 1, ""D10"": 0, ""D20"": 3, ""D40"": 0}",0.7195,77.28,36.7,4,0,78,49,38,58,78,-0.0862,5
ROAD_014,2025-12-03T00:00:00,78,41,49,Medium,6,"{""D00"": 0, ""D10"": 5, ""D20"": 0, ""D40"": 1}",0.7584,92.89,58.6,6,0,76,58,61,38,83,0.1316,6
ROAD_014,2026-02-02T00:00:00,76,57,58,Medium,10,"{""D00"": 1, ""D10"": 3, ""D20"": 3, ""D40"": 3}",0.755,93.12,45.7,10,0,,,,61,78,0.0328,7
ROAD_015,2025-01-15T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,19,67,0,100,0.0,0
ROAD_015,2025-03-23T00:00:00,96,25,19,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7164,71.64,77.3,1,0,96,19,37,67,100,0.0597,1
ROAD_015,2025-04-29T00:00:00,96,25,19,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7432,74.32,43.3,1,0,79,44,58,37,96,0.0,2
ROAD_015,2025-06-26T00:00:00,79,31,44,Medium,5,"{""D00"": 2, ""D10"": 3, ""D20"": 0, ""D40"": 0}",0.7585,88.97,59.3,5,0,91,28,43,58,96,0.2931,3
ROAD_015,2025-08-08T00:00:00,91,28,28,Routine,2,"{""D00"": 1, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.7088,78.88,52.8,2,0,82,50,67,43,79,-0.2791,4
ROAD_015,2025-10-14T00:00:00,82,45,50,Medium,4,"{""D00"": 0, ""D10"": 1, ""D20"": 2, ""D40"": 1}",0.7341,78.86,74.3,4,0,78,48,89,67,91,0.1343,5
ROAD_015,2026-01-11T00:00:00,78,39,48,Medium,8,"{""D00"": 2, ""D10"": 3, ""D20"": 3, ""D40"": 0}",0.7336,88.68,68.1,8,0,75,58,78,89,82,0.0449,6
ROAD_015,2026-03-30T00:00:00,75,57,58,Medium,10,"{""D00"": 1, ""D10"": 1, ""D20"": 4, ""D40"": 4}",0.7914,93.51,62.5,10,0,,,,78,78,0.0385,7
ROAD_016,2025-01-01T00:00:00,95,35,24,Routine,1,"{""D00"": 0, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.89,89.0,65.7,1,0,92,30,55,0,95,0.0,0
ROAD_016,2025-02-25T00:00:00,92,33,30,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.6268,68.51,53.8,2,0,92,33,83,55,95,0.0545,1
ROAD_016,2025-05-19T00:00:00,92,39,33,Routine,2,"{""D00"": 0, ""D10"": 1, ""D20"": 1, ""D40"": 0}",0.9233,94.67,71.4,2,0,83,45,35,83,92,0.0,2
ROAD_016,2025-06-23T00:00:00,83,36,45,Medium,4,"{""D00"": 2, ""D10"": 0, ""D20"": 2, ""D40"": 0}",0.7724,94.53,39.6,4,0,88,34,38,35,92,0.2571,3
ROAD_016,2025-07-31T00:00:00,88,29,34,Routine,3,"{""D00"": 2, ""D10"": 1, ""D20"": 0, ""D40"": 0}",0.8219,90.24,20.6,3,0,78,54,56,38,83,-0.1316,4
ROAD_016,2025-09-25T00:00:00,78,51,54,Medium,7,"{""D00"": 1, ""D10"": 1, ""D20"": 3, ""D40"": 2}",0.7573,92.36,19.2,7,0,78,50,85,56,88,0.1786,5
ROAD_016,2025-12-19T00:00:00,78,43,50,Medium,7,"{""D00"": 2, ""D10"": 1, ""D20"": 3, ""D40"": 1}",0.6933,79.35,31.7,7,0,79,46,77,85,78,0.0,6
ROAD_016,2026-03-06T00:00:00,79,35,46,Medium,5,"{""D00"": 1, ""D10"": 3, ""D20"": 1, ""D40"": 0}",0.7652,89.37,21.7,5,0,,,,77,78,-0.013,7
ROAD_017,2025-01-08T00:00:00,100,0,0,Routine,0,"{""D00"": 0, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.0,0.0,0.0,0,0,96,18,30,0,100,0.0,0
ROAD_017,2025-02-07T00:00:00,96,23,18,Routine,1,"{""D00"": 1, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.6216,62.160000000000004,77.2,1,0,92,26,32,30,100,0.1333,1
ROAD_017,2025-03-11T00:00:00,92,26,26,Routine,2,"{""D00"": 2, ""D10"": 0, ""D20"": 0, ""D40"": 0}",0.7598,88.03999999999999,46.1,2,0,96,23,32,32,96,0.125,2
